Attribute Type ID,Attribute ID,Description,Parent Attribute
TAGLVL1,ARTCULTURE,Art &#038; Exhibitions,
TAGLVL1,COMMUNITY,Community,
TAGLVL1,FAMILY,Family,
TAGLVL1,FOODWINE,Food &amp; Wine,
TAGLVL1,GARDENSAGR,Gardens &amp; Agriculture,
TAGLVL1,INDIGENOUS,Indigenous,
TAGLVL1,LIFESTYLE,Lifestyle,
TAGLVL1,LIVEMUSIC,Live Music,
TAGLVL1,MARKETS,Markets,
TAGLVL1,MULTICULTU,Multicultural,
TAGLVL1,SHOPPING,Shopping,
TAGLVL1,SPORTS,Sports,
TAGLVL1,STAGESHOWS,Performing Arts,
TAGLVL2,ACOUSTICFO,Acoustic &amp; Folk,LIVEMUSIC
TAGLVL2,AFL,AFL,SPORTS
TAGLVL2,AGRICULTUR,Agriculture,GARDENSAGR
TAGLVL2,ANIMALSPET,Animals / Pets,COMMUNITY
TAGLVL2,ATHLETICS,Athletics,SPORTS
TAGLVL2,AUSTDAY,Australia Day,COMMUNITY
TAGLVL2,BASKETBALL,Basketball,SPORTS
TAGLVL2,BEER,Beer,FOODWINE
TAGLVL2,BIGBANDMAR,Big Band &amp; Marching Band,LIVEMUSIC
TAGLVL2,CABERET,Caberet,STAGESHOWS
TAGLVL2,CHARITY,Charity,COMMUNITY
TAGLVL2,CIDER,Cider,FOODWINE
TAGLVL2,CLASSICALC,Classical &amp; Choir,LIVEMUSIC
TAGLVL2,COUNTRY,Country,LIVEMUSIC
TAGLVL2,CRAFTS,Crafts,ARTCULTURE
TAGLVL2,CRICKET,Cricket,SPORTS
TAGLVL2,CYCLING,Cycling,SPORTS
TAGLVL2,DANCE,Dance,STAGESHOWS
TAGLVL2,DANCEELECT,Dance &amp; Electronica,LIVEMUSIC
TAGLVL2,DEGUSTATIO,Degustation,FOODWINE
TAGLVL2,DESIGN,Design,ARTCULTURE
TAGLVL2,DINING,Dining,FOODWINE
TAGLVL2,DINNERSHOW,Dinner Show,STAGESHOWS
TAGLVL2,EDUCATION,Education,LIFESTYLE
TAGLVL2,FASHION,Fashion,ARTCULTURE
TAGLVL2,FETEFAIR,Fete / Fair,COMMUNITY
TAGLVL2,FILMDIGITA,Film,STAGESHOWS
TAGLVL2,FLOWER,Flower,GARDENSAGR
TAGLVL2,GARDENS,Gardens,GARDENSAGR
TAGLVL2,GAYANDLESB,Gay And Lesbian,LIFESTYLE
TAGLVL2,GOLF,Golf,SPORTS
TAGLVL2,HARDROCKHE,Hard Rock &amp; Heavy Metal,LIVEMUSIC
TAGLVL2,HEALTHANDW,Health And Wellness,LIFESTYLE
TAGLVL2,HISTORYAND,History and Heritage,ARTCULTURE
TAGLVL2,HOCKEY,Hockey,SPORTS
TAGLVL2,HOMEIMPROV,Home Improvement,LIFESTYLE
TAGLVL2,HORSERACIN,Horse Racing,SPORTS
TAGLVL2,INDIEALTER,Indie &amp; Alternative,LIVEMUSIC
TAGLVL2,JAZZBLUES,Jazz &amp; Blues,LIVEMUSIC
TAGLVL2,LAWN BOWLS,Lawn Bowls,SPORTS
TAGLVL2,LEISURE,Leisure,LIFESTYLE
TAGLVL2,LITERATURE,Literature,ARTCULTURE
TAGLVL2,LOCAL PROD,Local Produce,FOODWINE
TAGLVL2,MAKERSM,Makers Markets,MARKETS
TAGLVL2,MOTORSPORT,Motor Sport,SPORTS
TAGLVL2,MUSICAL,Musical,STAGESHOWS
TAGLVL2,MUSICFESTI,Music Festival,LIVEMUSIC
TAGLVL2,NEIGHBOURH,Neighbourhood,COMMUNITY
TAGLVL2,NETBALL,Netball,SPORTS
TAGLVL2,OPERA,Opera,STAGESHOWS
TAGLVL2,PAINTING,Painting,ARTCULTURE
TAGLVL2,PHOTOGRAPH,Photography,ARTCULTURE
TAGLVL2,PRODUCEM,Produce Markets,MARKETS
TAGLVL2,ROCKPOP,Rock &amp; Pop,LIVEMUSIC
TAGLVL2,RUNNING,Running,SPORTS
TAGLVL2,SAILING,Sailing,SPORTS
TAGLVL2,SCHOOLHOLS,School Holiday Activities,FAMILY
TAGLVL2,SCULPTURE,Sculpture,ARTCULTURE
TAGLVL2,SOCCER,Soccer,SPORTS
TAGLVL2,SPIRITUAL,Spiritual / Religious,LIFESTYLE
TAGLVL2,STAND-UPCO,Comedy,STAGESHOWS
TAGLVL2,SUSTAINABL,Sustainable Living &amp; Green,LIFESTYLE
TAGLVL2,SWIMMING,Swimming,SPORTS
TAGLVL2,THEATRE,Theatre,STAGESHOWS
TAGLVL2,TRIATHLON,Triathlon,SPORTS
TAGLVL2,VINTAGEM,Vintage Markets,MARKETS
TAGLVL2,VISUALARTS,Visual Arts,ARTCULTURE
TAGLVL2,WALKING,Walking,SPORTS
TAGLVL2,WINE,Wine,FOODWINE
TAGLVL2,WORLD,World,LIVEMUSIC
